ORG,WBC TEAM,PLAYER,POS,AGE
Arizona Diamondbacks,Puerto Rico,Nolan Arenado,3B,34.9
Arizona Diamondbacks,United States,Corbin Carroll,LF,25.5
Arizona Diamondbacks,Dominican Republic,Ketel Marte,2B,32.4
Arizona Diamondbacks,Dominican Republic,Geraldo Perdomo,SS,26.4
Arizona Diamondbacks,Venezuela,Eduardo Rodriguez,LHP,32.9
Arizona Diamondbacks,Dominican Republic,Carlos Santana,1B,39.9
Arizona Diamondbacks,Canada,Michael Soroka,RHP,28.6
Arizona Diamondbacks,Mexico,Alek Thomas,CF,25.9
Oakland Athletics,Dominican Republic,Elvis Alvarado,RHP,27.0
Oakland Athletics,Canada,Denzel Clarke,OF,25.8
Oakland Athletics,Puerto Rico,Carlos Cortes,LF,28.7
Oakland Athletics,Puerto Rico,Darell Hernaiz,3B,24.6
Oakland Athletics,Dominican Republic,Luis Severino,RHP,32.0
Oakland Athletics,Chinese Taipei,Chen Zhong-Ao Zhuang,RHP,25.5
Atlanta Braves,Venezuela,Ronald Acuna Jr.,RF,28.2
Atlanta Braves,Netherlands,Ozzie Albies,2B,29.2
Atlanta Braves,Netherlands,Jurickson Profar,LF,33.0
Baltimore Orioles,Puerto Rico,Jose Espada,RHP,29.0
Baltimore Orioles,Puerto Rico,Rico Garcia,RHP,32.1
Baltimore Orioles,United States,Gunnar Henderson,SS,24.7
Baltimore Orioles,Israel,Dean Kremer,RHP,30.2
Baltimore Orioles,Canada,Tyler O,OF,30.7
Boston Red Sox,Venezuela,Wilyer Abreu,RF,26.7
Boston Red Sox,Dominican Republic,Brayan Bello,RHP,26.8
Boston Red Sox,Venezuela,Willson Contreras,1B,33.8
Boston Red Sox,Mexico,Jarren Duran,CF,29.5
Boston Red Sox,Great Britain,Nate Eaton,3B,29.2
Boston Red Sox,Puerto Rico,Jovani Moran,LHP,28.9
Boston Red Sox,Netherlands,Ceddanne Rafaela,UTL,25.5
Boston Red Sox,Venezuela,Ranger Suarez,LHP,30.5
Boston Red Sox,Italy,Greg Weissert,RHP,31.1
Boston Red Sox,United States,Garrett Whitlock,RHP,29.7
Boston Red Sox,Japan,Masataka Yoshida,LF,32.6
Chicago Cubs,Panama,Miguel Amaya,C,27.0
Chicago Cubs,Mexico,Javier Assad,RHP,28.6
Chicago Cubs,United States,Matthew Boyd,LHP,35.1
Chicago Cubs,United States,Alex Bregman,3B,31.9
Chicago Cubs,United States,Pete Crow-Armstrong,CF,23.9
Chicago Cubs,Venezuela,Daniel Palencia,RHP,26.1
Chicago Cubs,Japan,Seiya Suzuki,RF,31.5
Chicago Cubs,Canada,Jameson Taillon,RHP,34.3
Cincinnati Reds,Puerto Rico,Edwin Arroyo,SS,22.5
Cincinnati Reds,Venezuela,Eugenio Suarez,3B,34.6
Cleveland Guardians,Panama,Logan Allen,LHP,27.5
Cleveland Guardians,Italy,Matt Festa,RHP,33.0
Cleveland Guardians,Canada,Bo Naylor,C,26.0
Colorado Rockies,Mexico,Brennan Bernardino,LHP,34.1
Colorado Rockies,Puerto Rico,Willi Castro,LF,28.9
Colorado Rockies,Israel,Troy Johnston,LF,28.7
Colorado Rockies,Canada,Edouard Julien,2B,26.8
Colorado Rockies,Italy,Michael Lorenzen,RHP,34.2
Colorado Rockies,Venezuela,Antonio Senzatela,RHP,31.1
Colorado Rockies,Venezuela,Ezequiel Tovar,SS,24.6
Colorado Rockies,Mexico,Victor Vodnik,RHP,26.4
Chicago White Sox,Dominican Republic,Seranthony Dominguez,RHP,31.3
Chicago White Sox,Australia,Curtis Mead,IF,25.4
Chicago White Sox,Japan,Munetaka Murakami,1B,26.1
Chicago White Sox,Italy,Kyle Teel,C,24.0
Detroit Tigers,Netherlands,Kenley Jansen,RHP,38.4
Detroit Tigers,Korea,Jahmai Jones,LF,28.6
Detroit Tigers,Chinese Taipei,Hao-Yu Lee,IF,23.1
Detroit Tigers,Venezuela,Keider Montero,RHP,25.7
Detroit Tigers,United States,Tarik Skubal,LHP,29.3
Detroit Tigers,Venezuela,Gleyber Torres,2B,29.2
Houston Astros,Italy,Zach Dezenzo,IF,25.8
Houston Astros,Dominican Republic,Jeremy Pena,SS,28.4
Houston Astros,Korea,Shay Whitcomb,2B,27.4
Kansas City Royals,Italy,Jac Caglianone,OF,23.1
Kansas City Royals,Canada,Eric Cerantola,RHP,25.8
Kansas City Royals,Dominican Republic,Carlos Estevez,RHP,33.2
Kansas City Royals,Venezuela,Maikel Garcia,3B,26.0
Kansas City Royals,Puerto Rico,Seth Lugo,RHP,36.3
Kansas City Royals,Italy,Vinnie Pasquantino,1B,28.4
Kansas City Royals,Venezuela,Salvador Perez,C,35.8
Kansas City Royals,United States,Michael Wacha,RHP,34.7
Kansas City Royals,United States,Bobby Witt,SS,25.7
Los Angeles Angels,Italy,Sam Aldegheri,LHP,24.5
Los Angeles Angels,Japan,Yusei Kikuchi,LHP,34.7
Los Angeles Angels,Puerto Rico,Matthew Lugo,CF,24.8
Los Angeles Angels,Cuba,Yoan Moncada,3B,30.8
Los Angeles Dodgers,Puerto Rico,Edwin Diaz,RHP,32.0
Los Angeles Dodgers,Korea,Hyeseong Kim,2B,27.1
Los Angeles Dodgers,Japan,Shohei Ohtani,DH,31.7
Los Angeles Dodgers,United States,Will Smith,C,30.9
Los Angeles Dodgers,Japan,Yoshinobu Yamamoto,RHP,27.5
Miami Marlins,Dominican Republic,Sandy Alcantara,RHP,30.5
Miami Marlins,Canada,Owen Caissie,OF,23.7
Miami Marlins,Canada,Liam Hicks,C,26.8
Miami Marlins,Canada,Otto Lopez,SS,27.4
Miami Marlins,Italy,Jakob Marsee,OF,24.7
Miami Marlins,Great Britain,Michael Petersen,RHP,31.8
Miami Marlins,Dominican Republic,Agustin Ramirez,C,24.5
Miami Marlins,Venezuela,Javier Sanoja,UTL,23.5
Miami Marlins,Mexico,Jared Serna,2B,23.8
Milwaukee Brewers,Canada,Tyler Black,UTL,25.6
Milwaukee Brewers,Venezuela,Jackson Chourio,CF,22.0
Milwaukee Brewers,Venezuela,William Contreras,C,28.2
Milwaukee Brewers,Mexico,Joey Ortiz,3B,27.6
Milwaukee Brewers,Nicaragua,Carlos Rodriguez,RHP,24.3
Milwaukee Brewers,United States,Brice Turang,2B,26.3
Milwaukee Brewers,Dominican Republic,Abner Uribe,RHP,25.7
Milwaukee Brewers,Canada,Rob Zastryzny,LHP,33.9
Milwaukee Brewers,Venezuela,Angel Zerpa,LHP,26.4
Minnesota Twins,Mexico,Taj Bradley,RHP,25.0
Minnesota Twins,United States,Byron Buxton,CF,32.2
Minnesota Twins,Venezuela,Pablo Lopez,RHP,30.0
Minnesota Twins,United States,Joe Ryan,RHP,29.7
New York Mets,Dominican Republic,Huascar Brazoban,RHP,36.4
New York Mets,Mexico,Alex Carrillo,RHP,28.7
New York Mets,United States,Clay Holmes,RHP,32.9
New York Mets,United States,Nolan McLean,RHP,24.6
New York Mets,Italy,Nick Morabito,OF,22.8
New York Mets,Dominican Republic,Juan Soto,RF,27.4
New York Mets,Nicaragua,Mark Vientos,3B,26.2
New York Mets,Canada,Jared Young,UTL,30.7
New York Yankees,United States,David Bednar,RHP,31.4
New York Yankees,Panama,Jose Caballero,IF,29.5
New York Yankees,Great Britain,Jazz Chisholm Jr.,2B,28.1
New York Yankees,Puerto Rico,Fernando Cruz,RHP,35.9
New York Yankees,Dominican Republic,Camilo Doval,RHP,28.7
New York Yankees,United States,Aaron Judge,RF,33.9
New York Yankees,Puerto Rico,Elmer Rodriguez,RHP,22.5
New York Yankees,Dominican Republic,Amed Rosario,UTL,30.3
New York Yankees,Dominican Republic,Austin Wells,C,26.6
Philadelphia Phillies,Venezuela,Jose Alvarado,LHP,30.8
Philadelphia Phillies,United States,Bryce Harper,1B,33.4
Philadelphia Phillies,United States,Brad Keller,RHP,30.6
Philadelphia Phillies,Israel,Max Lazar,RHP,26.8
Philadelphia Phillies,Italy,Aaron Nola,RHP,32.8
Philadelphia Phillies,Dominican Republic,Johan Rojas,CF,25.6
Philadelphia Phillies,Dominican Republic,Cristopher Sanchez,LHP,29.2
Philadelphia Phillies,United States,Kyle Schwarber,DH,33.0
Philadelphia Phillies,Panama,Edmundo Sosa,2B,30.0
Philadelphia Phillies,Israel,Garrett Stubbs,C,32.8
Philadelphia Phillies,Mexico,Taijuan Walker,RHP,33.6
Pittsburgh Pirates,Dominican Republic,Oneil Cruz,CF,27.4
Pittsburgh Pirates,Mexico,Nick Gonzales,2B,26.8
Pittsburgh Pirates,Israel,Spencer Horwitz,1B,28.3
Pittsburgh Pirates,Netherlands,Antwone Kelly,RHP,22.5
Pittsburgh Pirates,Italy,Kyle Nicolas,RHP,27.0
Pittsburgh Pirates,Dominican Republic,Dennis Santana,RHP,29.9
Pittsburgh Pirates,United States,Paul Skenes,RHP,23.8
Pittsburgh Pirates,Dominican Republic,Gregory Soto,LHP,31.1
San Diego Padres,Netherlands,Xander Bogaerts,SS,33.4
San Diego Padres,Italy,Alek Jacob,RHP,27.7
San Diego Padres,Dominican Republic,Manny Machado,3B,33.7
San Diego Padres,Italy,Ron Marinaccio,RHP,30.7
San Diego Padres,Japan,Yuki Matsui,LHP,30.3
San Diego Padres,United States,Mason Miller,RHP,27.5
San Diego Padres,Dominican Republic,Wandy Peralta,LHP,34.6
San Diego Padres,Dominican Republic,Fernando Tatis Jr.,RF,27.2
Seattle Mariners,Mexico,Randy Arozarena,LF,31.0
Seattle Mariners,Venezuela,Eduard Bazardo,RHP,30.5
Seattle Mariners,Italy,Dominic Canzone,OF,28.6
Seattle Mariners,Italy,Miles Mastrobuoni,UTL,30.3
Seattle Mariners,Mexico,Andres Munoz,RHP,27.1
Seattle Mariners,Canada,Josh Naylor,1B,28.7
Seattle Mariners,United States,Cal Raleigh,C,29.3
Seattle Mariners,Dominican Republic,Julio Rodriguez,CF,25.2
Seattle Mariners,United States,Gabe Speier,LHP,30.9
San Francisco Giants,Venezuela,Luis Arraez,1B,28.9
San Francisco Giants,Israel,Harrison Bader,CF,31.8
San Francisco Giants,Great Britain,Tristan Beck,RHP,29.7
San Francisco Giants,Venezuela,Jose Butto,RHP,28.0
San Francisco Giants,Korea,Jung Hoo Lee,CF,27.5
San Francisco Giants,Puerto Rico,Heliot Ramos,RF,26.5
San Francisco Giants,Colombia,Reiver Sanmartin,LHP,29.9
San Francisco Giants,United States,Logan Webb,RHP,29.3
St. Louis Cardinals,Panama,Leonardo Bernal,C,22.1
St. Louis Cardinals,Italy,Gordon Graceffo,RHP,26.0
St. Louis Cardinals,Panama,Ivan Herrera,C,25.8
St. Louis Cardinals,Korea,Riley O,RHP,31.1
St. Louis Cardinals,Italy,Thomas Saggese,2B,23.9
St. Louis Cardinals,Puerto Rico,Bryan Torres,OF,28.7
Tampa Bay Rays,Mexico,Jonathan Aranda,2B,27.8
Tampa Bay Rays,Dominican Republic,Junior Caminero,3B,22.7
Tampa Bay Rays,United States,Garrett Cleavinger,LHP,31.9
Tampa Bay Rays,Venezuela,Yoendrys Gomez,RHP,26.4
Tampa Bay Rays,United States,Griffin Jax,RHP,31.3
Tampa Bay Rays,Dominican Republic,Edwin Uceta,RHP,28.2
Texas Rangers,Mexico,Robert Garcia,LHP,29.7
Texas Rangers,Mexico,Alejandro Osuna,RF,23.4
Toronto Blue Jays,United States,Ernie Clement,UTL,30.0
Toronto Blue Jays,Venezuela,Andres Gimenez,2B/SS,27.5
Toronto Blue Jays,Dominican Republic,Vladimir Guerrero Jr.,1B,27.0
Toronto Blue Jays,Panama,Leo Jimenez,SS,24.8
Toronto Blue Jays,Mexico,Alejandro Kirk,C,27.3
Toronto Blue Jays,Canada,Adam Macko,LHP,25.2
Toronto Blue Jays,Japan,Kazuma Okamoto,3B,29.7
Washington Nationals,Great Britain,Harry Ford,C,23.0
